pitch_type,game_date,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,pitch_name,bat_score,fld_score,if_fielding_alignment,of_fielding_alignment
SL,9/16/2022,"Verlander, Justin",669127,434378,strikeout,swinging_strike,9,Shea Langeliers strikes out swinging.,R,R,HOU,OAK,S,2,,1,2,,,,2,5,35,5,Slider,0,2,Infield shift,Standard
FF,9/16/2022,"Verlander, Justin",669127,434378,,foul,3,Shea Langeliers strikes out swinging.,R,R,HOU,OAK,S,,,1,2,,,,2,5,35,4,4-Seam Fastball,0,2,Infield shift,Standard
SL,9/16/2022,"Verlander, Justin",669127,434378,,called_strike,13,Shea Langeliers strikes out swinging.,R,R,HOU,OAK,S,,,1,1,,,,2,5,35,3,Slider,0,2,Infield shift,Standard
FF,9/16/2022,"Verlander, Justin",669127,434378,,foul,1,Shea Langeliers strikes out swinging.,R,R,HOU,OAK,S,,,1,0,,,,2,5,35,2,4-Seam Fastball,0,2,Infield shift,Standard
SL,9/16/2022,"Verlander, Justin",669127,434378,,ball,8,Shea Langeliers strikes out swinging.,R,R,HOU,OAK,B,,,0,0,,,,2,5,35,1,Slider,0,2,Infield shift,Standard
SL,9/16/2022,"Verlander, Justin",681146,434378,field_out,hit_into_play,4,Jonah Bride pops out softly to first baseman Yuli Gurriel.,R,R,HOU,OAK,X,3,popup,2,2,,,,1,5,34,5,Slider,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",681146,434378,,called_strike,6,Jonah Bride pops out softly to first baseman Yuli Gurriel.,R,R,HOU,OAK,S,,,2,1,,,,1,5,34,4,Slider,0,2,Strategic,Standard
FF,9/16/2022,"Verlander, Justin",681146,434378,,foul,11,Jonah Bride pops out softly to first baseman Yuli Gurriel.,R,R,HOU,OAK,S,,,2,0,,,,1,5,34,3,4-Seam Fastball,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",681146,434378,,ball,14,Jonah Bride pops out softly to first baseman Yuli Gurriel.,R,R,HOU,OAK,B,,,1,0,,,,1,5,34,2,Slider,0,2,Standard,Standard
CU,9/16/2022,"Verlander, Justin",681146,434378,,ball,13,Jonah Bride pops out softly to first baseman Yuli Gurriel.,R,R,HOU,OAK,B,,,0,0,,,,1,5,34,1,Curveball,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",660650,434378,strikeout,swinging_strike,14,Dermis Garcia strikes out swinging.,R,R,HOU,OAK,S,2,,0,2,,,,0,5,33,3,Slider,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",660650,434378,,foul,8,Dermis Garcia strikes out swinging.,R,R,HOU,OAK,S,,,0,1,,,,0,5,33,2,Slider,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",660650,434378,,swinging_strike,14,Dermis Garcia strikes out swinging.,R,R,HOU,OAK,S,,,0,0,,,,0,5,33,1,Slider,0,2,Strategic,Standard
FF,9/16/2022,"Verlander, Justin",657656,434378,strikeout,foul_tip,3,Ramon Laureano strikes out on a foul tip.,R,R,HOU,OAK,S,2,,3,2,,,664913,2,4,27,6,4-Seam Fastball,0,2,Standard,Standard
CU,9/16/2022,"Verlander, Justin",657656,434378,,ball,14,Ramon Laureano strikes out on a foul tip.,R,R,HOU,OAK,B,,,2,2,,,664913,2,4,27,5,Curveball,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",657656,434378,,swinging_strike,14,Ramon Laureano strikes out on a foul tip.,R,R,HOU,OAK,S,,,2,1,,,664913,2,4,27,4,Slider,0,2,Standard,Standard
SL,9/16/2022,"Verlander, Justin",657656,434378,,called_strike,12,Ramon Laureano strikes out on a foul tip.,R,R,HOU,OAK,S,,,2,0,,,664913,2,4,27,3,Slider,0,2,Standard,Standard
CU,9/16/2022,"Verlander, Justin",657656,434378,,ball,11,Ramon Laureano strikes out on a foul tip.,R,R,HOU,OAK,B,,,1,0,,,664913,2,4,27,2,Curveball,0,2,Standard,Standard
CU,9/16/2022,"Verlander, Justin",657656,434378,,ball,11,Ramon Laureano strikes out on a foul tip.,R,R,HOU,OAK,B,,,0,0,,,664913,2,4,27,1,Curveball,0,2,Standard,Standard
CH,9/16/2022,"Verlander, Justin",664913,434378,walk,ball,13,Seth Brown walks.,L,R,HOU,OAK,B,,,3,2,,,,2,4,26,6,Changeup,0,2,Infield shift,Standard
SL,9/16/2022,"Verlander, Justin",664913,434378,,foul,9,Seth Brown walks.,L,R,HOU,OAK,S,,,3,1,,,,2,4,26,5,Slider,0,2,Infield shift,Standard
